feature,label,d_PD,d_PD_ci_lo,d_PD_ci_hi,p_PD,sig_PD,n_PD,n_HC_PD,mean_PD,mean_HC_PD,d_AD,d_AD_ci_lo,d_AD_ci_hi,p_AD,sig_AD,n_AD,n_HC_AD,mean_AD,mean_HC_AD,bucket
dev_meanF0,F0 mean,-0.9824050373657018,-2.220073944613823,-0.05622296364314499,0.08572335833737392,False,24,8,-0.6821692051584449,-1.1102230246251565e-16,0.5924709941556788,0.3715736899575609,0.7944041142214915,6.581434735893413e-06,True,194,99,0.5532787027124608,-0.07588912556145462,AD-specific
dev_HNR,HNR,-0.8742446457713414,-1.5476137951079068,-0.25723828402210525,0.02211946564609627,True,66,8,-0.948342503216095,-4.996003610813204e-16,0.34543207622102584,0.1061646396375754,0.5683579407347709,0.01383580089314788,True,194,99,0.23783668758770476,-0.0001741899094581639,shared-discordant
dev_localJitter,Jitter (local),0.6998075649167178,0.389003416770005,1.1635028111531878,0.0061867676585944135,True,66,8,1.5332541987012902,0.0,0.08001436176101427,-0.15272678151122293,0.325996125126113,0.5057393483634156,False,194,99,0.19714459580646695,0.1296903103017395,PD-specific
dev_localabsoluteJitter,Jitter (abs),0.8595912661077714,0.5245378701373183,1.2733124398209534,0.007935492389510924,True,66,8,1.7525296820992868,0.0,-0.22802999938258656,-0.4671591090329828,0.025713706318289307,0.05207406522474077,False,194,99,-0.0806507362542806,0.11282221736074,PD-specific
dev_rapJitter,Jitter (RAP),0.6355445394917427,0.3235413817275946,1.0481786315110118,0.0061867676585944135,True,66,8,1.477074569950666,2.220446049250313e-16,0.07792317160327275,-0.15882326321630022,0.3133134194650333,0.4909419784589951,False,194,99,0.19453054036867481,0.128440710002741,PD-specific
dev_ppq5Jitter,Jitter (ppq5),0.6044405561561311,0.3719908868059198,1.007606403638698,0.007867207600250364,True,66,8,1.8237150844814345,-3.3306690738754696e-16,0.11886919633913023,-0.13797274657337788,0.35525121574055996,0.23912566887871867,False,194,99,0.21414815831174608,0.11656073958077863,PD-specific
dev_localShimmer,Shimmer (local),0.8913477357667035,0.6610729339445998,1.3729865814666202,0.0002632680669442025,True,66,8,3.464401193841502,-4.440892098500626e-16,-0.05830219745499475,-0.29846978990707196,0.1837976541953449,0.9366745405338995,False,194,99,-0.014073435927571942,0.032036676990144584,PD-specific
dev_apq3Shimmer,Shimmer (apq3),0.8625455565551828,0.6101226513833984,1.2573717667514637,0.0017406766484427956,True,66,8,2.609653863601954,-2.498001805406602e-16,-0.05975452459098429,-0.27479801818861205,0.17270199291022154,0.773411142848982,False,194,99,-0.017006859660272045,0.031073103617679464,PD-specific
dev_aqpq5Shimmer,Shimmer (apq5),0.8113475822855764,0.6104510996914765,1.2692021106699405,0.0006334399396698823,True,66,8,3.6273922669183527,-1.6653345369377348e-16,-0.08641990965939071,-0.31737336553379863,0.13895511953113399,0.6581687699880316,False,194,99,-0.02758634352844084,0.04199607513785923,PD-specific
dev_apq11Shimmer,Shimmer (apq11),0.9643625200795473,0.7479650762483877,1.4678356399272612,5.0677854501951046e-05,True,66,8,4.357922715658257,-3.0531133177191805e-16,-0.10570395361630648,-0.3553745658051728,0.11757179001744754,0.4273275327337158,False,194,99,-0.02600269114431631,0.06425509217909466,PD-specific
