task,gender,feature,n,n_valid,mean,std,RI_lower,RI_upper,CI_lower_lo,CI_lower_hi,CI_upper_lo,CI_upper_hi
cookie_theft,male,meanF0,883,883,127.52330236925597,22.858643016117025,94.53301174531889,180.58402042380126,92.7641689505966,97.25527913363891,176.72030177255849,187.99597975218808
cookie_theft,male,stdevF0,883,883,64.85493521327946,33.045418098739944,16.661207154899454,147.66614892482988,13.496179037614946,18.90696198905876,141.81856179528566,150.80904488362734
cookie_theft,male,HNR,883,883,9.849029855557212,2.555445983329741,4.975952229614201,15.042747637989438,4.716788008474537,5.360511374914792,14.690296714759304,15.517578386008418
cookie_theft,male,localJitter,883,883,0.024848179549359445,0.0072294878002742285,0.014751283198683515,0.04320159229802732,0.01388408223850255,0.01558722793457,0.0412060195933464,0.04487109941452084
cookie_theft,male,localabsoluteJitter,883,883,0.00020208572052748388,6.201008999152794e-05,0.00010169163595116999,0.00033427138882436493,9.903116953621277e-05,0.0001096738584737,0.0003229038751457,0.00034930231249078993
cookie_theft,male,rapJitter,883,883,0.011299472864631586,0.0042304772239289854,0.00579652322058011,0.022339077127388793,0.005662665689679017,0.006042046329002085,0.021102926793607948,0.023146631903601805
cookie_theft,male,ppq5Jitter,883,883,0.012555717831930345,0.004014346197380865,0.00700215649657124,0.023025950203570227,0.0068121824758142,0.0073033497970657,0.0214630195492346,0.0240169488304772
cookie_theft,male,localShimmer,883,883,0.11715613879252335,0.025914683123385938,0.07547590093866383,0.17647525471210193,0.07426141235985269,0.0779019620003112,0.17046422842946063,0.1802519229915794
cookie_theft,male,localdbShimmer,883,883,1.1229847951801517,0.19915922096704836,0.7940476794093908,1.5534373902216356,0.7702686482653847,0.8072890470500571,1.5225347506320934,1.5812900390286229
cookie_theft,male,apq3Shimmer,883,883,0.04704207917804358,0.014455537637608517,0.025257521018902027,0.08034792240896964,0.02370237990280539,0.025949059041013606,0.07957564550097809,0.084064244715863
cookie_theft,male,aqpq5Shimmer,883,883,0.06591108329042474,0.019454154766040115,0.037642711868633875,0.1122880905184449,0.0360546499267059,0.03874752708401135,0.1070932820672421,0.11729548742335438
cookie_theft,male,apq11Shimmer,883,883,0.11263185946650073,0.03027644351531886,0.06684723344526114,0.18515273059282314,0.06352113220816702,0.0691867309808636,0.17639880655068713,0.19478223203936015
cookie_theft,male,F1_mean,883,883,782.6720785689186,103.41358895195752,605.1419520293201,1023.0497725562137,593.2723342270699,615.8064739046289,999.9740603534674,1035.4037680309757
cookie_theft,male,F1_median,883,883,653.2647912455452,147.4921736341419,461.4444289018334,1018.9445171282323,446.0280418345065,465.8831359862292,981.2315518855979,1046.5527919498227
cookie_theft,male,F2_mean,883,883,1848.0321903507052,124.15076719074499,1607.226127931332,2088.9789910852264,1588.4176498749391,1626.3583607317016,2071.325293477485,2111.27276143976
cookie_theft,male,F2_median,883,883,1833.0126634156948,149.2339205128467,1549.654905075819,2157.4338702946284,1533.6031373743367,1571.9075143258756,2126.0452131927077,2191.5102275208415
cookie_theft,male,F3_mean,883,883,2925.4591545201883,171.93807712751897,2643.0326651405517,3318.1660381371344,2616.688861499014,2675.6827767246405,3233.8694082751085,3414.1454600621964
cookie_theft,male,F3_median,883,883,2864.32973565279,168.72214089870087,2535.9269833270005,3210.756618178035,2497.558000557798,2579.1607907587418,3180.1495481830475,3224.3099905252916
cookie_theft,male,F4_mean,883,883,3949.721062432518,157.44120003975075,3660.724013030078,4235.145276621218,3630.056003436758,3709.770148014904,4213.519353574262,4263.2071779504195
cookie_theft,male,F4_median,883,883,3939.9020042266425,186.97769518743036,3581.422785822168,4276.750288777862,3533.9153610771978,3619.8882440896823,4243.20951387208,4296.179865589066
cookie_theft,male,speech_rate,883,883,2.275214024902017,0.3712124475778456,1.4122177106062126,2.881883581351516,1.3584916799344138,1.5309684587255987,2.842156911588037,2.9012811201784126
cookie_theft,male,articulation_rate,883,883,3.5001033950834968,0.020572820678563558,3.4572667561691253,3.539823008849613,3.454545454545514,3.462507731235385,3.5379812695109853,3.5429359578001285
cookie_theft,male,avg_syllable_duration,883,883,0.2857157284090896,0.0016814997439790552,0.2824999999999956,0.2892458333333282,0.28225178571428083,0.2826470588235247,0.2888080194805144,0.2894736842105213
cookie_theft,male,mean_pause_duration,883,883,0.28560066001257467,0.1387822273279924,0.10947640983929799,0.6271247433180916,0.1033703703703701,0.1160584384384385,0.5830208333333332,0.6498113972660589
cookie_theft,male,mean_speech_duration,883,883,0.5796070668416979,0.6003725051626483,0.18936953060094117,1.119545454545454,0.1677175925925924,0.21029754754754756,1.0521428571428568,1.1937830459770111
cookie_theft,male,silence_rate,883,883,0.34996108268348575,0.10599687962327421,0.1773343195534785,0.5970471686067778,0.16790617391189264,0.1845964254792637,0.5629335112853345,0.6117489388817019
cookie_theft,male,silence_to_speech_ratio,883,883,1.0333115116634233,0.027313165193515034,1.0086206896551724,1.0909090909090908,1.0076335877862594,1.0091743119266054,1.0833333333333333,1.1
cookie_theft,male,mean_silence_count,883,883,1.381290050824293,0.535402744968269,0.6549283298720252,2.7257413938272945,0.6272833976188756,0.6961633663366337,2.577713815789473,2.9749820106907894
cookie_theft,female,meanF0,896,896,192.96669456940393,25.053122546335143,147.18837899476077,245.55298246974579,144.59992178647056,150.55857215285351,241.72834698073817,248.9320107671715
cookie_theft,female,stdevF0,896,896,54.5108344767866,17.130997706447648,25.491492986860134,91.76256930392832,23.79780999584495,27.45854878651655,89.04728094873457,99.41269392198026
cookie_theft,female,HNR,896,896,12.627625054399553,2.60818545023929,7.904622210608098,18.332280172090314,7.472121362015395,8.250347097891998,17.812378228891067,18.65596785036608
cookie_theft,female,localJitter,896,896,0.01985200849744617,0.00458658432741272,0.012433448218167787,0.030219742503309475,0.0120503265505368,0.012877408011757,0.02929651579437058,0.0322295733956798
cookie_theft,female,localabsoluteJitter,896,896,0.00010594158392717387,3.184455171804711e-05,6.0639139556978576e-05,0.0001767815061864375,5.8961791201609404e-05,6.260183485131401e-05,0.0001691749789683,0.00019558840963937183
cookie_theft,female,rapJitter,896,896,0.009400551072140589,0.002558628179628656,0.005393956981483263,0.0154806297403594,0.005176419544423888,0.005606862487688737,0.014786675852127298,0.016413119871731875
cookie_theft,female,ppq5Jitter,896,896,0.009933012003337795,0.0026685424014355388,0.005918833901308863,0.016417722144135737,0.005566195834179362,0.006164057544886613,0.01518067501853655,0.0174720915325087
cookie_theft,female,localShimmer,896,896,0.09339549394629364,0.020890822174323937,0.06064404029453516,0.1429716848989984,0.057864549138963065,0.06235588846156147,0.13906153417459932,0.148142525778527
cookie_theft,female,localdbShimmer,896,896,0.948926349797439,0.1710273284973061,0.6590104821807202,1.342632510884768,0.6345545853817064,0.672003586367075,1.3073869263320272,1.364360063971236
cookie_theft,female,apq3Shimmer,896,896,0.037527906654818755,0.011732905805233075,0.019232101425222713,0.06804567676112785,0.0184477859254633,0.020338289455898263,0.06324618279492132,0.06977092418567814
cookie_theft,female,aqpq5Shimmer,896,896,0.05025053158267654,0.015031233235047969,0.027045186214112612,0.08546813326238392,0.0267208708075603,0.028470152549838083,0.0822179739187077,0.0886278905645655
cookie_theft,female,apq11Shimmer,896,896,0.08554019108622064,0.023732004260337513,0.04965254144854254,0.13947609252603316,0.047534093326552354,0.05174816083523394,0.1336181928927367,0.1473730394092657
cookie_theft,female,F1_mean,896,896,765.3372043827429,86.85383493692191,609.6904157942549,930.4482649101116,595.1545591993353,625.6408471236253,922.0029780783009,958.0784006709289
cookie_theft,female,F1_median,896,896,643.9700321279223,107.58108547733418,480.1327809975846,911.1717624897718,465.10848608958247,489.0487978025291,869.0967722317444,946.24168352817
cookie_theft,female,F2_mean,896,896,1888.4380880561653,118.21598075555202,1648.2638453486702,2105.9653940113503,1616.316193636591,1674.6123148732258,2083.868433982342,2135.704355700584
cookie_theft,female,F2_median,896,896,1887.7308780765393,135.54069072626086,1627.6687205115823,2146.2764566303304,1596.8851532707467,1658.4234522397371,2119.7543869798687,2200.8591091996655
cookie_theft,female,F3_mean,896,896,2963.0973602360755,173.41133923530145,2650.356654664462,3346.5666263908424,2619.788335990973,2680.8292800922472,3258.4166758520428,3437.2385961385694
cookie_theft,female,F3_median,896,896,2956.370518726441,158.94490560997818,2638.7643306196496,3227.380231859937,2591.442085261343,2662.5000896167803,3199.878305045874,3259.007406449271
cookie_theft,female,F4_mean,896,896,4038.303326087323,156.41438396819822,3734.425886309822,4287.7419668684415,3686.701463382551,3772.014566574322,4267.42545791091,4304.64530763734
cookie_theft,female,F4_median,896,896,4052.6397713409747,171.0877120999298,3718.417976844459,4322.264023524037,3662.854672274487,3756.100253488045,4304.119697663366,4343.746278847116
cookie_theft,female,speech_rate,896,896,2.3913028968776056,0.3923737963799615,1.5545638287095813,3.012902396065848,1.4247720364741645,1.5905706137950781,2.987322224750778,3.0613067811069437
cookie_theft,female,articulation_rate,896,896,3.4994344577746577,0.01745954517094224,3.4639858510254085,3.533427032180507,3.459327600347838,3.4679167443595627,3.53016688061624,3.5367405984877256
cookie_theft,female,avg_syllable_duration,896,896,0.2857675811487721,0.0014273849981565583,0.2830113636363588,0.2886847826086906,0.28274621212120776,0.283272727272722,0.2883575581395297,0.28907352941175984
cookie_theft,female,mean_pause_duration,896,896,0.24999637481489315,0.1298496446540562,0.10301847389558219,0.5640601851851853,0.09290183150183168,0.10849313179732985,0.5273242979242978,0.6225417572683832
cookie_theft,female,mean_speech_duration,896,896,0.5738313009688972,0.30772176072989765,0.20386029411764706,1.0582187500000002,0.1772941176470588,0.221451612903226,1.0005208333333335,1.1689772727272727
cookie_theft,female,silence_rate,896,896,0.31669270506981057,0.11190734767663817,0.14084248104205235,0.5569421826004197,0.12606352917880737,0.14770849612737805,0.5456942680944059,0.5941817424446533
cookie_theft,female,silence_to_speech_ratio,896,896,1.030091088261805,0.022210459757906916,1.008130081300813,1.0833333333333333,1.0072992700729928,1.008849557522124,1.0769230769230769,1.0909090909090908
cookie_theft,female,mean_silence_count,896,896,1.4035315337127987,0.5068452904457104,0.6977234934026271,2.6328275918749706,0.6554110738255033,0.740114283802386,2.497484825382536,2.952051526717557
max_phonation,male,meanF0,894,892,126.4767300440607,46.69892229099588,84.64896814852128,231.71117101828597,83.20510631620586,86.18834644649819,204.34098372163578,304.13234154773653
max_phonation,male,stdevF0,894,892,24.675801692764924,37.026499569898405,1.1018443215546248,138.17345891444884,1.031112722266538,1.1664742364659346,120.74942249088119,149.80725091250665
max_phonation,male,HNR,894,894,14.874297818702992,5.145268691543018,3.028801407870589,24.165930128806295,2.0932965282131613,4.241752937412037,23.48460439510252,24.768251503613556
max_phonation,male,localJitter,894,892,0.0098877723226703,0.01082169594002447,0.0025352626702805302,0.040590945405247596,0.0023906030574269,0.0026499816600889254,0.033870730497159204,0.05192644106109827
max_phonation,male,localabsoluteJitter,894,892,7.919644688319483e-05,7.890952236288998e-05,1.8507606176118013e-05,0.00025469173430987254,1.651508610752768e-05,1.9814560898151097e-05,0.0002392540324016206,0.00028434292755150266
max_phonation,male,rapJitter,894,892,0.005449600688484487,0.006439000136137831,0.0011815387927618176,0.0232403355519793,0.0011019594782675575,0.0012103171253538907,0.0189894211651832,0.03037553761083307
max_phonation,male,ppq5Jitter,894,892,0.005647561235029281,0.0062878812613750175,0.0013735184353886425,0.024166669575256157,0.0013043485249251,0.0014517319830714111,0.0206458954324456,0.03188053290528367
max_phonation,male,localShimmer,894,892,0.08220129150653456,0.04155664781453539,0.028928679890291683,0.18847648045389603,0.02761050246003697,0.03067911541684139,0.174938720628433,0.2015307869065652
max_phonation,male,localdbShimmer,894,892,0.7857503407520233,0.3693215905621533,0.2773514272157214,1.717248934097085,0.2525964923428302,0.2980567244363001,1.5582362109799937,1.8075147664136844
max_phonation,male,apq3Shimmer,894,892,0.03950351980842467,0.02130665785090906,0.01236532613980701,0.092127287409748,0.01173671246738315,0.013230563946564921,0.08911132211498632,0.0983894253388571
max_phonation,male,aqpq5Shimmer,894,890,0.05000307956168838,0.02921023171932281,0.016365076753955005,0.11608387168957628,0.0153125715223629,0.017693337737292793,0.11015117886390852,0.12667521451850428
max_phonation,male,apq11Shimmer,894,886,0.07379633235873279,0.046295852957344195,0.024459854481523588,0.17338407802816969,0.022380693397999158,0.0265425042023598,0.159455764438863,0.18803003487880715
max_phonation,male,F1_mean,894,894,739.9549646362685,120.68978711453245,518.7173632763519,1002.1866230335663,502.9767849584702,540.4484035856784,978.8475296679367,1022.7527461865058
max_phonation,male,F1_median,894,894,705.5645047262576,132.4075914034664,440.77298799790674,980.2564463426571,412.5376497814508,479.6102864928628,952.308846586564,1031.9552800478075
max_phonation,male,F2_mean,894,894,1418.7766391312816,225.17128579616787,1099.608089694076,2015.8420323425557,1091.9640243030378,1121.1035700768741,1929.0856763758231,2065.206327635444
max_phonation,male,F2_median,894,894,1323.2123080247572,270.14889375479055,985.1508244403427,2095.568850245544,970.0573634568386,1008.7286434145816,2004.195415107168,2209.8380472523345
max_phonation,male,F3_mean,894,894,2714.5313655874947,253.54434678788635,2237.4340012632138,3225.954720389676,2168.5542467709,2286.1849574154016,3188.18881078062,3308.0279811345217
max_phonation,male,F3_median,894,894,2648.492843630255,287.7897962743668,2121.972455164476,3271.4598316593097,2083.373391431421,2154.2146928097673,3183.2167132915515,3309.1404525146104
max_phonation,male,F4_mean,894,894,3806.089177436938,287.2299889202001,3256.676245064584,4446.485216973422,3196.749912050368,3323.8144339552987,4376.506263000505,4489.287338516788
max_phonation,male,F4_median,894,894,3757.815004530192,330.85599060765077,3171.6492160601097,4526.590319061636,3137.495021761956,3212.11404373834,4465.307363270421,4558.303588163397
max_phonation,male,speech_rate,894,0,,,,,,,,
max_phonation,male,articulation_rate,894,0,,,,,,,,
max_phonation,male,avg_syllable_duration,894,0,,,,,,,,
max_phonation,male,mean_pause_duration,894,0,,,,,,,,
max_phonation,male,mean_speech_duration,894,0,,,,,,,,
max_phonation,male,silence_rate,894,0,,,,,,,,
max_phonation,male,silence_to_speech_ratio,894,0,,,,,,,,
max_phonation,male,mean_silence_count,894,0,,,,,,,,
max_phonation,female,meanF0,900,899,192.84013740714147,44.91254401355541,125.18394895321576,292.8846099404645,120.62435048457847,130.0128669821445,280.050492018847,313.13084272851006
max_phonation,female,stdevF0,900,899,35.048458091961045,24.322738023696918,1.9943230672540706,91.72534566224927,1.823592411890655,2.216450293715795,82.30122910182779,99.63009028863567
max_phonation,female,HNR,900,899,17.704835545475092,4.683227425053359,7.27587838864133,25.803118225011303,6.220931189387314,8.051729457796021,25.505072915868233,26.824444023223926
max_phonation,female,localJitter,900,899,0.007116747461795287,0.00608717691496657,0.00231820930773841,0.024182962745711124,0.0020797680452952,0.00253976400157038,0.021623955704085197,0.0262731048716429
max_phonation,female,localabsoluteJitter,900,899,3.888323503969098e-05,3.394614336337047e-05,1.0897082268681977e-05,0.00014835660344573995,9.57928004657299e-06,1.1487141714050578e-05,0.00011590754133355483,0.00017676498380071455
max_phonation,female,rapJitter,900,899,0.003959015543533368,0.003442993565878837,0.001182278589131705,0.013235298804983323,0.00109763374764412,0.001339299753263335,0.0119921855505762,0.0156991732782683
max_phonation,female,ppq5Jitter,900,899,0.004046411439912622,0.0037251769570853695,0.0012502163667457,0.013654699598355273,0.0011533119663031,0.00136520555947172,0.0125367132658477,0.0146863031064293
max_phonation,female,localShimmer,900,899,0.06686191511745918,0.032401877037076546,0.023854344372883193,0.1541326395150352,0.022681374940622435,0.02642539810323946,0.14537811562692526,0.15857139265416212
max_phonation,female,localdbShimmer,900,899,0.6709790835390711,0.2987461591851246,0.24631262861913714,1.4054574279345082,0.2375325650737288,0.2650536059991233,1.3360207292554531,1.4532501984105428
max_phonation,female,apq3Shimmer,900,899,0.03423902959750481,0.016519174168580574,0.012466687466061216,0.07714697276340526,0.0116711272118085,0.01309817389326145,0.07299840728932618,0.07939346798731822
max_phonation,female,aqpq5Shimmer,900,899,0.039988472951650256,0.021334762085952107,0.014187304720001176,0.09944632444770733,0.0131359335846838,0.015256573602856085,0.09239639939181277,0.1032232344610513
max_phonation,female,apq11Shimmer,900,899,0.05504084729576252,0.03131100162014276,0.017913072017793057,0.14327050664801594,0.0169903531851404,0.0196192151165249,0.13129108835870296,0.1483659624717471
max_phonation,female,F1_mean,900,899,809.2510907170717,130.99093805076876,531.9729555109295,1058.4282944050385,507.0451639199773,566.2284436850135,1043.9404342534826,1088.0525661864647
max_phonation,female,F1_median,900,899,789.9253002207287,149.04543491424735,433.7539827133488,1050.9993301344314,410.82750014419554,474.5711154341117,1029.7850178192325,1084.3474112304752
max_phonation,female,F2_mean,900,899,1505.5392378615636,189.4958833691985,1182.5845505041807,1959.0399820423863,1163.9364994823004,1196.8263259243543,1885.4272229827552,2027.0051003625545
max_phonation,female,F2_median,900,899,1448.8952628406923,218.4035408506888,1082.9399007989746,1996.8073182591468,1055.2566934903332,1103.7590833093695,1902.0613259666188,2092.501471815439
max_phonation,female,F3_mean,900,899,2873.3183519398117,279.02792409864924,2251.9646281874025,3332.687454690032,2195.115361922911,2319.598301420363,3307.564339321587,3403.313369480972
max_phonation,female,F3_median,900,899,2891.328850680326,321.2515530570968,2146.0746923859115,3391.1761204115946,2084.6403733954407,2257.5467913601865,3348.045649515053,3411.4975109345796
max_phonation,female,F4_mean,900,899,3928.523834477526,263.7269248861261,3380.217086785013,4395.233134048695,3310.7908246884012,3419.86908986916,4351.964509764149,4448.7386615779415
max_phonation,female,F4_median,900,899,3928.3309499946727,307.0286506450644,3276.2954387145373,4493.378172729004,3217.691935241091,3317.208231490712,4449.460329986795,4533.509673252289
max_phonation,female,speech_rate,900,0,,,,,,,,
max_phonation,female,articulation_rate,900,0,,,,,,,,
max_phonation,female,avg_syllable_duration,900,0,,,,,,,,
max_phonation,female,mean_pause_duration,900,0,,,,,,,,
max_phonation,female,mean_speech_duration,900,0,,,,,,,,
max_phonation,female,silence_rate,900,0,,,,,,,,
max_phonation,female,silence_to_speech_ratio,900,0,,,,,,,,
max_phonation,female,mean_silence_count,900,0,,,,,,,,
picnic,male,meanF0,391,391,127.6195667840074,23.1163642805674,97.1066552574707,179.23206244689436,95.76745502216411,99.26835863892062,168.00658053101472,192.0639060280776
picnic,male,stdevF0,391,391,64.75422359867372,31.49915879028894,22.47727736611346,147.8639363870303,20.253485337095178,25.588824974534923,128.22740059471585,162.5474002360527
picnic,male,HNR,391,391,10.110012329714761,2.786182839563677,4.979975972533227,15.70295629422066,4.273263867192469,5.616288890019127,14.998227156855398,16.07744667581398
